School/Location,June 2022,June 2022,May 2022,May 2022,April 2022,April 2022,March 2022,March 2022,February 2022,February 2022,January 2022,January 2022,December 2021,December 2021,November 2021,November 2021,October 2021,October 2021,September 2021,September 2021,August 2021,August 2021,July 2021,July 2021
School/Location,Students,Staff,Students,Staff,Students,Staff,Students,Staff,Students,Staff,Students,Staff,Students,Staff,Students,Staff,Students,Staff,Students,Staff,Students,Staff,Students,Staff
Alma Preschool,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2,1.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Castro Valley Elementary School,3,2.0,8.0,2.0,3.0,1.0,2.0,0.0,9.0,0.0,46,1.0,1.0,0.0,2,0.0,2,0.0,2,0.0,5,0.0,0,0.0
Chabot Elementary School,6,2.0,25.0,5.0,3.0,0.0,4.0,0.0,6.0,0.0,23,2.0,2.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0
Independent Elementary School,3,1.0,26.0,0.0,7.0,0.0,1.0,0.0,8.0,0.0,41,3.0,2.0,0.0,1,0.0,2,0.0,0,0.0,0,0.0,0,0.0
Jensen Ranch Elementary School,0,0.0,5.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,24,3.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0
Marshall Elementary School,0,1.0,25.0,1.0,3.0,1.0,1.0,0.0,10.0,0.0,28,4.0,0.0,0.0,3,0.0,6,0.0,3,0.0,1,1.0,0,0.0
Palomares Elementary School,0,0.0,11.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0
Proctor Elementary School,0,0.0,23.0,0.0,13.0,2.0,2.0,0.0,9.0,0.0,19,4.0,0.0,0.0,0,0.0,0,0.0,2,0.0,3,0.0,0,0.0
Stanton Elementary School,0,0.0,13.0,0.0,2.0,0.0,2.0,0.0,5.0,2.0,41,4.0,0.0,0.0,0,0.0,1,0.0,3,0.0,4,0.0,0,0.0
Vannoy Elementary School,0,0.0,16.0,1.0,6.0,2.0,3.0,0.0,9.0,2.0,13,5.0,3.0,0.0,1,0.0,0,0.0,0,0.0,4,0.0,0,0.0
Canyon Middle School,0,2.0,46.0,13.0,15.0,2.0,3.0,1.0,18.0,1.0,69,10.0,2.0,0.0,4,0.0,0,1.0,4,0.0,4,2.0,0,1.0
Creekside Middle School,0,1.0,34.0,1.0,11.0,1.0,0.0,0.0,8.0,0.0,56,9.0,1.0,0.0,2,1.0,0,1.0,2,0.0,1,0.0,0,0.0
Castro Valley High School,8,5.0,137.0,13.0,40.0,6.0,3.0,1.0,18.0,1.0,137,9.0,6.0,0.0,5,1.0,1,4.0,3,2.0,7,1.0,1,0.0
Redwood High School / Roy A. Johnson,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,9,4.0,0.0,0.0,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0
Castro Valley Adult & Career Education,1,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3,2.0,0.0,0.0,0,0.0,0,0.0,4,0.0,0,0.0,0,0.0
"District Departments(i.e. District Office, MOT, CN, etc.)",-,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,-,9.0,0.0,0.0,-,0.0,-,1.0,-,0.0,-,1.0,-,0.0
DISTRICT TOTAL:,21,16.0,369.0,48.0,109.0,19.0,25.0,3.0,102.0,11.0,514,70.0,17.0,0.0,19,2.0,12,7.0,24,2.0,32,5.0,1,1.0
"Updated June 22, 2022",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
